"","Price","Age","Mileage","Fuel_Type","Horse_Power","Metalic_Color","Automatic","CC","Doors","Quarterly_Tax","Weight","Pred.Price"
"84",17950,31,16238,"Petrol",110,"1","1",1600,"5",100,1180,17415.5116952864
"85",16650,25,15414,"Petrol",97,"1","0",1400,"5",85,1110,16304.5227013833
"86",17450,28,8537,"Petrol",110,"1","0",1600,"5",85,1130,16848.3351143069
"88",17950,20,66966,"Diesel",90,"1","0",2000,"3",210,1245,18043.2011814181
"91",16450,20,48110,"Petrol",97,"1","0",1400,"3",85,1100,16248.1436118444
"93",19950,16,34472,"Diesel",90,"1","0",1995,"3",234,1260,19413.5934905055
"94",15950,20,33329,"Petrol",97,"1","0",1400,"3",85,1100,16478.5197173056
"95",18900,20,31850,"Petrol",110,"0","0",1600,"3",85,1120,17340.9220670644
"98",15950,19,25948,"Petrol",97,"1","0",1400,"3",85,1100,16727.8006901055
"102",16250,19,19200,"Petrol",97,"1","0",1400,"3",85,1100,16832.9747622016
"103",18500,13,18000,"Petrol",71,"0","0",1400,"3",85,1125,17395.327558836
"104",18500,11,16123,"Petrol",110,"1","0",1600,"3",85,1105,18467.2332625136
"106",16950,19,13748,"Petrol",97,"1","0",1400,"3",85,1100,16917.9494274458
"107",18800,14,11500,"Petrol",110,"1","0",1600,"3",69,1045,16828.6517629939
"108",17450,17,10000,"Petrol",97,"1","0",1400,"3",85,1100,17244.8475867288
"109",17950,20,7187,"Petrol",110,"1","0",1600,"3",85,1105,17398.3405392525
"111",31000,4,4000,"Diesel",116,"1","0",2000,"5",283,1480,27101.8595173449
"112",31275,4,1500,"Diesel",116,"1","0",2000,"5",283,1480,27140.8244225376
"113",24950,8,13253,"Diesel",116,"1","0",2000,"5",234,1320,22932.9121512101
"116",24990,8,6000,"Diesel",90,"1","0",2000,"5",234,1280,21367.2557104615
"118",17900,7,1,"Petrol",110,"1","0",1600,"3",85,1105,19255.4740899565
"119",19250,20,63000,"Diesel",90,"1","0",2000,"5",234,1255,18323.0005140283
"123",16350,14,40010,"Petrol",110,"1","0",1600,"5",85,1115,17910.1938332637
"124",18950,20,39115,"Petrol",110,"1","0",1600,"5",85,1130,17445.6754595869
"126",21750,16,36000,"Petrol",110,"1","0",1600,"5",85,1130,18031.1896782933
"127",15950,20,36000,"Petrol",110,"1","0",1600,"5",19,1075,16295.3059928884
"128",16500,20,35000,"Petrol",97,"1","0",1400,"5",85,1110,16670.4609816872
"131",16250,20,32627,"Petrol",97,"1","0",1400,"5",85,1110,16707.4464696961
"132",15950,20,29797,"Petrol",97,"1","0",1400,"5",85,1110,16751.5547423742
"134",15950,13,29371,"Petrol",110,"1","0",1600,"4",19,1105,17992.2684634983
"135",16500,20,29000,"Petrol",97,"0","0",1400,"5",85,1110,16763.9767541497
"136",16500,19,27821,"Petrol",97,"0","0",1400,"5",85,1110,16916.5935901476
"139",23000,11,25000,"Diesel",116,"1","0",2000,"5",64,1320,22347.1008945635
"140",19900,20,23000,"Petrol",110,"1","0",1600,"5",85,1130,17696.8432384589
"144",18500,16,20629,"Petrol",110,"1","0",1600,"4",85,1090,17398.8198733302
"145",18950,15,20270,"Petrol",110,"1","0",1600,"5",85,1130,18410.5978484747
"146",16450,16,20105,"Petrol",97,"0","0",1400,"5",85,1110,17439.5778336616
"148",24500,13,19988,"Petrol",110,"1","0",1600,"5",85,1130,18683.4750631986
"149",19450,19,18328,"Petrol",110,"0","0",1600,"5",85,1130,17903.9018399921
"150",20950,14,17896,"Petrol",110,"1","1",1600,"4",85,1150,19017.8107231797
"151",17200,20,17300,"Petrol",97,"1","0",1400,"5",85,1110,16946.3325104514
"152",19950,19,17038,"Petrol",110,"0","0",1600,"5",85,1130,17924.0077310715
"153",18450,10,13747,"Petrol",97,"1","0",1400,"5",85,1110,18344.1193008021
"154",19500,12,13634,"Petrol",110,"1","0",1600,"5",85,1115,18589.7711424268
"156",16868,15,13157,"Petrol",97,"1","0",1400,"4",85,1085,17137.146567351
"157",19500,16,13000,"Petrol",110,"1","0",1600,"4",85,1105,17844.7032885348
"160",19750,16,11754,"Petrol",110,"0","1",1600,"5",100,1180,19499.0139498763
"165",17650,11,6155,"Petrol",97,"1","0",1400,"5",85,1110,18328.2069381822
"169",20500,12,5000,"Petrol",110,"1","0",1600,"5",85,1130,19051.3184495189
"171",18245,9,1,"Petrol",110,"1","0",1600,"5",19,1075,18333.0358955009
"173",19500,8,10077,"Petrol",97,"1","0",1400,"5",85,1110,18669.8017550431
"174",18950,8,10000,"Petrol",97,"1","0",1400,"5",85,1110,18671.0018741231
"177",18950,8,7000,"Petrol",110,"0","0",1600,"5",85,1115,19230.1323616824
"178",19950,7,6250,"Petrol",110,"1","0",1600,"5",85,1115,19376.0628199493
"179",21950,8,5000,"Petrol",110,"1","0",1600,"5",85,1130,19588.2823963552
"181",18500,7,2000,"Petrol",110,"0","0",1600,"5",19,1075,18570.361530727
"183",21125,2,225,"Petrol",97,"1","0",1400,"5",85,1110,19628.800573681
"185",17795,1,1,"Petrol",98,"1","0",1400,"4",19,1100,19579.5766317922
"186",18245,1,1,"Petrol",110,"1","0",1600,"5",19,1075,19406.9637891736
"187",6950,43,243000,"Diesel",69,"0","0",1900,"3",185,1110,8617.5825630688
"189",11950,40,179860,"Diesel",90,"1","0",2000,"5",210,1205,12726.8782164576
"191",11950,40,161000,"Diesel",69,"1","0",1900,"3",185,1105,10189.3617100097
"192",4350,44,158320,"Diesel",69,"0","0",1800,"5",64,1110,9803.16084504618
"194",11750,40,130062,"Diesel",69,"1","0",1900,"5",185,1140,11434.5091292938
"195",13250,41,123425,"Diesel",69,"1","0",1900,"5",185,1140,11403.7121728902
"197",11900,44,110000,"Diesel",69,"1","0",1900,"5",185,1095,10229.2964220916
"198",14750,39,108847,"Diesel",90,"1","0",2000,"5",210,1205,13967.9251281458
"199",9950,42,105699,"Petrol",97,"1","0",1400,"3",69,1025,10762.3713815945
"200",11950,39,98823,"CNG",110,"1","0",1600,"5",197,1119,12214.0942817919
"203",10500,42,92204,"Petrol",110,"1","0",1600,"5",85,1075,12466.0108727088
"205",12950,43,89968,"Diesel",69,"1","0",1900,"5",185,1140,11656.6897326847
"206",11500,44,89757,"Petrol",110,"1","0",1600,"3",69,1045,11581.7115274559
"207",12500,40,85389,"Petrol",110,"1","0",1600,"5",85,1075,12840.7111776822
"208",10950,43,85017,"Petrol",97,"0","0",1400,"5",85,1060,11713.4281871071
"209",11450,41,84312,"Petrol",110,"0","0",1600,"5",85,1080,12832.2489756364
"210",11950,37,82743,"CNG",110,"1","0",1600,"5",197,1121,12776.7956068119
"211",13250,41,81106,"Diesel",69,"1","0",1900,"5",185,1140,12063.2945020299
"212",14750,40,80425,"Diesel",90,"1","0",2000,"5",210,1205,14276.6683555913
"213",11790,34,78677,"Petrol",110,"1","1",1600,"5",85,1105,14404.7262964354
"214",11450,40,78425,"Petrol",110,"1","0",1600,"5",85,1075,12949.2518175869
"215",13500,33,78108,"Diesel",90,"1","0",2000,"3",210,1170,14489.5190121439
"216",10950,33,77321,"Petrol",110,"1","0",1600,"5",85,1075,13906.1456266836
"217",13500,33,75699,"Diesel",69,"0","0",1900,"3",185,1105,12458.5467681097
"218",10950,41,75697,"Petrol",97,"1","0",1400,"3",69,1025,11364.22240254
"219",10950,44,74846,"Petrol",97,"1","0",1400,"3",69,1025,10974.7630961403
"223",11950,40,73042,"Petrol",110,"1","0",1598,"5",85,1075,13033.1510514478
"225",12450,35,71200,"Petrol",110,"1","0",1600,"5",85,1075,13733.0653271392
"226",12950,38,67805,"Petrol",110,"1","0",1600,"5",85,1075,13383.2567082636
"227",11950,35,65988,"Petrol",110,"1","0",1600,"3",69,1040,13051.3504369413
"228",11690,34,65345,"Petrol",97,"1","0",1400,"5",85,1060,13228.204113469
"229",12450,42,64564,"Petrol",110,"1","0",1600,"5",85,1080,13005.7995680253
"230",12750,36,63459,"Petrol",97,"1","0",1400,"5",85,1060,12989.1172645282
"231",11925,44,63451,"Petrol",97,"0","0",1400,"3",69,1025,11152.3651340085
"239",13950,44,59000,"Petrol",110,"0","1",1600,"5",85,1110,13477.9941086413
"240",11950,40,58954,"Petrol",110,"1","0",1600,"5",85,1080,13361.7187886958
"243",11950,43,58277,"Petrol",110,"1","0",1600,"3",69,1045,12206.5986003512
"246",13500,39,56001,"Petrol",110,"1","0",1600,"5",85,1075,13432.9924179123
"247",11950,42,55968,"Petrol",110,"0","0",1600,"3",69,1050,12485.8202770024
"248",12900,39,55678,"Petrol",110,"1","0",1600,"4",69,1030,12457.0923521071
"250",11750,42,55400,"Petrol",110,"0","0",1600,"5",85,1075,13039.6366209934
"251",11750,33,55350,"Petrol",110,"0","0",1600,"5",85,1075,14248.584799479
"252",10850,43,54600,"Petrol",110,"0","0",1600,"4",69,1030,11936.9300723899
"254",14950,42,53719,"Petrol",110,"1","1",1600,"5",85,1105,13719.7928442823
"255",9940,39,53644,"Petrol",110,"1","0",1600,"5",19,1075,13469.728530528
"257",13500,38,53000,"Petrol",110,"1","0",1600,"5",85,1075,13614.0068768147
"258",11750,44,52084,"Petrol",97,"1","0",1400,"3",69,1025,11329.5307649386
"259",11950,44,52000,"Petrol",97,"0","0",1400,"3",69,1025,11330.8399857531
"261",11950,41,51732,"Petrol",97,"1","0",1400,"3",69,1025,11737.739983717
"262",12495,39,50873,"Petrol",110,"1","0",1600,"5",85,1075,13512.9172314435
"265",12000,39,50000,"Petrol",97,"1","0",1400,"5",85,1060,12796.1657679962
"268",12450,34,49291,"Petrol",110,"1","0",1600,"3",69,1040,13445.8302324513
"269",14750,40,48952,"Diesel",90,"1","0",2000,"5",210,1205,14767.205340043
"270",10950,39,48945,"Petrol",110,"0","0",1600,"3",69,1040,12780.0180417845
"271",13500,33,48928,"Diesel",69,"1","0",1900,"3",185,1105,12875.798558875
"272",12950,38,48197,"Petrol",110,"1","0",1600,"5",85,1075,13688.8662526709
"275",13500,43,48000,"Petrol",110,"1","0",1600,"5",85,1075,13020.7317536546
"276",11480,41,47350,"Petrol",110,"1","0",1600,"5",85,1075,13299.3446024229
"277",13450,39,46821,"Petrol",97,"1","0",1400,"5",85,1060,12845.7135414393
"279",12750,43,46515,"Petrol",97,"0","0",1400,"5",69,1025,11550.5699744549
"280",14990,38,46327,"Petrol",110,"1","0",1600,"3",85,1055,13282.0411877301
"283",12850,39,45713,"Petrol",97,"1","0",1400,"5",19,1085,13407.9463049518
"287",11700,40,44830,"Petrol",110,"1","0",1600,"5",85,1075,13472.8622135662
"289",11895,44,44218,"Petrol",97,"1","0",1400,"5",85,1060,12215.0788671804
"290",12950,43,43632,"Petrol",110,"1","0",1600,"5",85,1075,13088.8112360073
"291",12500,36,43427,"Petrol",110,"1","0",1600,"3",69,1040,13268.7443406531
"292",13875,39,43254,"Petrol",110,"1","0",1600,"5",85,1075,13631.6666765087
"295",13950,42,42560,"Petrol",110,"1","0",1600,"5",85,1080,13348.7530775692
"298",12850,40,41339,"Petrol",110,"1","0",1600,"5",85,1080,13636.2655106835
"299",13995,35,41000,"Petrol",110,"1","0",1600,"5",85,1075,14203.7613818668
"301",12750,37,39757,"Petrol",110,"1","0",1600,"5",85,1075,13954.6527593104
"302",12500,41,39659,"Petrol",110,"1","0",1600,"3",69,1045,12765.2600157203
"303",13950,43,39650,"Petrol",110,"0","0",1600,"3",85,1055,12714.9037229732
"307",9950,44,39000,"Petrol",97,"1","0",1400,"3",69,1025,11533.457492755
"308",13500,42,38932,"Petrol",110,"1","0",1600,"3",69,1040,12533.357319935
"309",11450,37,38812,"Petrol",97,"0","0",1400,"3",69,1025,12476.0745605891
"310",12450,42,38665,"Petrol",110,"1","0",1600,"5",85,1075,13300.4676963532
"311",12950,40,38653,"Petrol",110,"1","0",1600,"5",85,1080,13678.1294048225
"312",13995,44,38461,"Petrol",110,"1","0",1600,"5",85,1080,13144.1579627049
"314",11650,39,37782,"Petrol",97,"1","0",1400,"5",85,1060,12986.5950526539
"316",13950,41,37533,"Petrol",110,"1","0",1600,"5",85,1075,13452.3519921335
"319",9900,42,37000,"Petrol",97,"1","0",1400,"3",69,1025,11833.1113903273
"320",11950,44,37000,"Petrol",110,"0","0",1600,"4",19,1075,13057.9363497933
"322",10750,36,36269,"Petrol",110,"1","0",1600,"5",85,1075,14143.2575817443
"323",13950,37,36074,"Petrol",110,"1","1",1600,"5",19,1075,14012.0558576403
"324",11250,44,36066,"Petrol",110,"1","0",1600,"3",69,1040,12309.5447138297
"325",12950,39,34599,"Petrol",110,"1","0",1600,"5",85,1075,13766.5631782858
"326",11950,41,34000,"Petrol",110,"1","0",1600,"5",85,1075,13507.4171961518
"328",12950,33,33591,"Petrol",110,"1","0",1600,"5",85,1075,14587.719748314
"331",11000,41,33000,"Petrol",110,"1","1",1600,"5",19,1075,13523.0031582289
"333",11950,38,32781,"Petrol",110,"0","0",1600,"5",85,1075,13929.139444051
"336",12500,35,32000,"Petrol",110,"0","0",1600,"3",69,1040,13581.0861160169
"338",12200,41,30989,"Petrol",110,"0","0",1600,"3",69,1045,12900.3903069285
"339",12750,43,30742,"Petrol",110,"1","0",1600,"3",69,1040,12526.7653626371
"340",11950,42,30190,"Petrol",110,"1","0",1600,"5",85,1075,13432.5587249564
"341",11900,41,29716,"Petrol",116,"1","0",1600,"5",85,1075,13760.3627951462
"343",14950,42,29640,"Petrol",110,"0","0",1600,"3",85,1055,13005.1601900738
"344",11950,41,29056,"Petrol",97,"1","0",1400,"5",85,1060,12854.1161843203
"345",12950,33,28715,"Petrol",110,"1","0",1600,"5",85,1075,14663.7168994018
"348",13750,38,28150,"Petrol",110,"1","0",1600,"5",85,1075,14001.3180344299
"350",12750,33,27240,"Petrol",110,"1","0",1600,"5",85,1075,14686.7061934655
"351",11895,39,27170,"Petrol",97,"1","0",1400,"5",85,1060,13151.9932822158
"352",9950,42,27141,"Petrol",97,"1","0",1400,"5",85,1060,12749.7223149888
"353",12450,38,26262,"Petrol",110,"1","0",1600,"5",85,1075,14030.7443308314
"354",12500,38,26000,"Petrol",97,"1","0",1400,"5",85,1060,13304.4698445551
"355",14950,43,25228,"Petrol",110,"1","0",1600,"3",69,1045,12721.6990610363
"357",12695,39,24723,"Petrol",110,"1","1",1600,"4",85,1060,13593.5120292403
"358",14990,33,24650,"Petrol",110,"1","0",1600,"3",85,1055,14291.1030212202
"359",12750,43,24553,"Petrol",110,"1","0",1600,"5",85,1080,13495.1685099819
"361",12950,39,24444,"Petrol",110,"1","0",1600,"3",69,1040,13161.8896986349
"362",11500,35,24011,"Petrol",97,"0","0",1400,"3",69,1025,12975.24435871
"365",12900,38,22865,"Petrol",110,"1","0",1600,"5",85,1075,14083.6898440072
"368",11950,41,21651,"Petrol",97,"0","0",1400,"3",69,1025,12206.5813089574
"369",11450,37,21500,"Petrol",110,"1","0",1600,"5",69,1030,13258.2713373955
"370",13250,44,21027,"Petrol",110,"1","0",1600,"5",85,1080,13415.8836255566
"371",10250,39,18500,"Petrol",110,"0","0",1600,"4",69,1030,13036.5472502085
"372",13995,35,18000,"Petrol",110,"1","0",1600,"5",85,1075,14562.2385096395
"373",11950,40,17051,"Petrol",97,"0","0",1400,"5",85,1060,13175.4666457646
"374",13250,33,16512,"Petrol",97,"1","0",1400,"5",19,1085,14668.5179038189
"375",12950,40,16325,"Petrol",110,"1","0",1600,"5",85,1080,14026.1327660794
"377",11500,39,12000,"Petrol",110,"1","0",1600,"5",85,1075,14118.7903352656
"378",13500,43,10000,"Petrol",97,"1","0",1400,"5",85,1060,12882.6403042428
"379",6500,53,216000,"Diesel",69,"0","0",1900,"3",185,1110,7695.99367205889
"380",6400,51,198167,"Diesel",69,"0","0",1900,"4",185,1095,7915.4419966788
"381",7000,53,176000,"Diesel",69,"0","0",1900,"3",185,1105,8210.43945163555
"382",7750,54,174139,"Diesel",72,"1","0",2000,"4",185,1100,8089.29890557379
"383",8900,45,174000,"Diesel",69,"1","0",1900,"5",185,1095,9097.55386244992
"385",8950,54,149329,"Diesel",72,"1","0",2000,"5",185,1135,9238.93554924955
"386",9900,51,146736,"Petrol",110,"1","0",1600,"5",85,1080,10516.9010118464
"387",10250,53,143513,"Diesel",69,"0","0",1900,"5",185,1140,9479.72952617699
"390",9450,54,138394,"Diesel",69,"1","0",1900,"4",185,1095,8444.33874778438
"391",7750,55,137000,"Diesel",72,"1","0",2000,"5",185,1135,9296.85388898869
"392",8250,52,135258,"Diesel",69,"1","0",1900,"5",185,1140,9742.6326298323
"393",9950,49,131364,"Petrol",110,"1","0",1600,"5",85,1075,10915.9776908071
"394",4450,56,129155,"Diesel",69,"0","0",1800,"5",64,1110,8646.83358851496
"400",10750,54,115558,"Petrol",110,"1","0",1600,"4",69,1035,9619.182845802
"403",5150,56,113997,"Diesel",72,"1","0",2000,"5",64,1135,9521.13678793849
"404",10950,49,107859,"Petrol",97,"0","0",1400,"5",85,1060,10551.9677210881
"405",9450,52,104805,"Petrol",97,"1","0",1400,"3",69,1025,9433.89536460059
"408",11900,47,102352,"Petrol",110,"1","0",1600,"5",85,1080,11745.6322995115
"409",9950,50,102030,"Petrol",97,"1","0",1400,"5",85,1060,10508.5773073262
"410",11950,54,101352,"Petrol",110,"0","0",1600,"5",85,1080,10821.5313546249
"413",8950,48,98100,"Diesel",69,"1","0",1900,"5",185,1140,10858.7397555285
"414",11950,51,98040,"Petrol",110,"0","0",1600,"5",85,1080,11275.8750211515
"415",10900,49,97600,"Petrol",110,"1","0",1600,"3",69,1045,10788.2658933399
"417",9950,51,96135,"Diesel",72,"0","0",2000,"3",185,1115,10034.7673620797
"418",10950,54,96100,"Petrol",110,"1","0",1600,"5",85,1080,10903.3888274537
"421",10500,49,91340,"Petrol",110,"1","0",1600,"3",85,1055,11103.8194229549
"434",11290,49,80320,"Petrol",110,"1","1",1600,"3",85,1070,11602.5548355629
"435",10750,49,80090,"Petrol",97,"1","0",1400,"3",69,1030,10330.8180809689
"438",9750,48,78600,"Petrol",110,"1","0",1600,"5",85,1075,11872.5963805508
"440",12500,49,77648,"Petrol",110,"0","0",1600,"4",69,1030,10772.258898183
"446",10950,50,74849,"Petrol",110,"1","1",1600,"4",85,1060,11335.599240365
"447",11950,55,74715,"Petrol",110,"1","0",1600,"5",85,1080,11102.4536397628
"448",10995,49,74656,"Diesel",69,"0","0",1900,"3",185,1105,10326.9471392107
"449",11450,56,74500,"Petrol",97,"0","0",1400,"3",69,1025,9369.26399850992
"453",11450,49,73175,"Petrol",97,"1","0",1400,"3",69,1030,10438.5950087319
"454",12000,52,73000,"Petrol",110,"0","0",1600,"3",85,1055,10986.9430073211
"455",11950,50,72242,"Petrol",110,"0","1",1600,"3",85,1070,11594.2172505124
"457",10950,54,71725,"Petrol",110,"1","0",1600,"4",69,1035,10302.3623215263
"458",10950,54,71276,"Petrol",110,"0","0",1600,"5",85,1080,11290.294750055
"461",9500,55,69813,"Petrol",97,"1","0",1400,"3",69,1025,9576.55638947424
"462",11950,49,69659,"Petrol",86,"0","0",1300,"3",69,1025,10043.0810958855
"465",8750,49,68565,"Petrol",110,"1","0",1600,"4",69,1030,10913.8261917291
"467",9950,46,68414,"Petrol",97,"0","0",1400,"3",69,1025,10806.5300308018
"470",11250,54,66063,"Petrol",110,"1","0",1600,"5",85,1090,11589.5297773752
"471",10900,50,65471,"Petrol",97,"1","0",1400,"5",85,1060,11078.3844949019
"472",9750,56,65400,"Petrol",97,"1","0",1400,"3",69,1025,9511.09625341128
"476",8950,54,64000,"Petrol",97,"1","0",1400,"3",69,1025,9801.39857373735
"477",10250,54,63792,"Petrol",110,"1","0",1600,"5",85,1075,11297.9473867335
"479",10500,54,63135,"Petrol",110,"1","0",1600,"3",69,1050,10763.223846287
"480",11950,54,63123,"Petrol",110,"1","0",1600,"4",69,1035,10436.4327673133
"482",11500,55,63000,"Petrol",110,"0","0",1600,"4",69,1035,10304.1088539397
"483",11450,54,62987,"Petrol",110,"0","0",1600,"5",85,1080,11419.4867897118
"484",9900,56,62751,"Petrol",110,"0","0",1600,"3",69,1050,10500.7268823065
"487",10750,50,61672,"Petrol",110,"0","0",1600,"5",85,1075,11867.9535731733
"489",12000,56,61000,"Petrol",110,"1","0",1600,"3",69,1050,10528.0179019034
"490",9940,53,60558,"Petrol",110,"1","0",1600,"4",19,1105,12136.5495958373
"492",10750,54,60239,"Petrol",110,"1","0",1600,"5",85,1075,11353.3243099934
"493",9799,51,59000,"Petrol",97,"1","0",1400,"3",69,1025,10282.05134425
"494",11750,51,58761,"Petrol",97,"0","0",1300,"5",85,1060,11048.72531373
"495",11950,54,58745,"Petrol",110,"1","0",1600,"4",69,1035,10504.6681092867
"496",11250,52,58596,"Petrol",110,"1","0",1600,"3",69,1045,10993.4577980668
"497",11750,54,58530,"Petrol",110,"0","0",1600,"5",85,1075,11379.9607191831
"498",10950,55,58377,"Petrol",110,"1","0",1600,"3",69,1050,10703.1408671407
"499",11250,56,58142,"Petrol",110,"1","0",1600,"5",85,1080,11226.5188025571
"500",9950,53,57948,"Petrol",97,"1","0",1400,"3",69,1025,10029.9658029369
"501",9700,51,57645,"Petrol",110,"0","0",1600,"5",85,1080,11905.4699592548
"503",9900,53,57475,"Petrol",110,"0","0",1600,"3",69,1040,10767.6959713399
"504",9990,55,56743,"Petrol",110,"0","0",1600,"3",69,1045,10619.6156256684
"509",10500,50,54465,"Petrol",110,"0","0",1600,"5",85,1075,11980.2816018627
"510",10900,46,53700,"Petrol",97,"1","0",1400,"5",85,1060,11798.8108013475
"511",11700,52,53561,"Petrol",97,"1","0",1400,"5",85,1060,10995.5313298217
"512",11900,51,53408,"Petrol",110,"1","0",1600,"5",85,1080,11971.5076805753
"513",13950,51,53268,"Petrol",110,"1","0",1600,"5",85,1080,11973.6897152661
"515",10500,56,52448,"Petrol",97,"0","0",1400,"3",69,1025,9712.96563423351
"516",10750,55,52149,"Petrol",97,"1","0",1400,"3",19,1085,11159.7792656784
"517",11950,55,52141,"Petrol",110,"1","0",1600,"5",85,1070,11236.3057406782
"518",10000,56,52000,"Petrol",97,"0","0",1400,"3",69,1025,9719.94814524404
"519",10495,48,50967,"Petrol",97,"1","0",1400,"5",85,1060,11572.9252622859
"520",11450,50,50400,"Petrol",110,"0","0",1600,"5",85,1080,12152.6312412123
"522",11950,51,50000,"Petrol",86,"1","0",1300,"5",69,1045,10516.9743649654
"524",18950,49,49568,"Petrol",110,"1","0",1600,"3",19,1105,12844.8032659006
"525",11450,51,49473,"Petrol",110,"0","0",1600,"3",85,1055,11487.8749238175
"529",10500,56,48731,"Petrol",110,"1","0",1600,"3",85,1055,10828.2347741332
"530",13750,54,48370,"Petrol",110,"1","0",1600,"5",85,1080,11647.3067973924
"531",9950,48,48071,"Petrol",97,"0","0",1400,"3",69,1025,10855.1132839175
"532",10250,54,47852,"Petrol",110,"1","0",1600,"4",69,1030,10565.453290686
"533",10850,54,47768,"Petrol",110,"0","0",1600,"3",85,1055,11111.7260290316
"535",12950,53,47451,"Petrol",110,"1","0",1600,"3",85,1055,11250.9077657192
"536",11950,50,47219,"Petrol",110,"1","0",1600,"5",85,1080,12202.2101865794
"539",10950,56,46500,"Petrol",86,"0","0",1300,"5",69,1035,9682.33489167727
"541",10950,47,46391,"Petrol",110,"0","0",1600,"5",85,1075,12508.8456198003
"542",12450,54,46230,"Petrol",110,"1","0",1600,"3",85,1055,11135.6972387062
"543",10500,52,46029,"Petrol",110,"1","0",1600,"4",69,1030,10862.3484729707
"544",10900,50,46000,"Petrol",97,"0","0",1400,"3",69,1025,10618.909837961
