ID,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
00105941,4,8,2,3,$20.00,$17.00,$14.75,$16.50,15,41,13,31,36,5,15,15,A,0,31,83,M,H,$144200,32,$32558
00034165,2,2,1,1,$17.00,$11.00,$11.00,$17.00,17,32,10,22,21,4,9,8,A,0,39,,M,U,$138500,39,$0
00110116,3,3,1,1,$25.00,$21.67,$21.67,$20.00,18,32,13,27,26,6,12,10,A,0,24,51,F,H,$223200,29,$90355
00191031,3,10,2,6,$15.00,$15.00,$11.40,$15.00,19,86,13,35,65,6,17,26,A,1,35,83,M,U,$120800,26,$75703
00007414,1,4,1,2,$15.00,$15.00,$13.00,$15.00,16,40,21,39,51,4,12,12,A,0,14,,M,U,$103900,23,$64868
00002436,7,8,2,2,$6.00,$6.14,$5.75,$6.50,15,29,24,37,38,10,16,15,A,1,39,29,F,U,$97500,6,$50154
00059612,2,4,1,1,$20.00,$17.50,$12.50,$15.00,26,40,10,31,34,5,15,14,A,0,40,54,F,H,$119000,25,$60284
00113683,3,4,3,3,$15.00,$15.00,$16.25,$15.00,22,28,12,26,24,6,13,11,A,0,39,39,M,U,$89600,2,$42866
00007844,2,5,2,2,$30.00,$27.50,$25.00,$27.50,17,68,23,36,59,8,15,13,A,0,00,,F,H,$450000,27,$147113
00184597,2,2,2,2,$25.00,$22.50,$22.50,$22.50,16,20,15,22,20,5,8,7,N,0,39,39,M,H,$0,14,$75000
00102047,1,1,1,1,$20.00,$20.00,$20.00,$20.00,20,20,11,18,16,4,7,6,F,0,00,,M,U,$177400,0,$0
00052964,1,3,1,3,$25.00,$25.00,$23.33,$25.00,20,53,13,32,44,5,14,18,A,0,31,,F,U,$118800,0,$0
00189178,1,1,1,1,$15.00,$15.00,$15.00,$15.00,17,17,4,6,5,2,3,3,E,0,37,,M,U,$136400,41,$0
00190104,2,2,1,1,$17.00,$11.00,$11.00,$5.00,18,30,4,11,10,2,6,6,E,0,50,,M,U,$71300,21,$0
00173645,2,4,1,2,$25.00,$22.50,$15.00,$20.00,17,42,15,35,39,6,15,14,A,0,39,31,M,U,$112500,4,$40287
00047073,4,11,1,4,$10.00,$9.50,$6.45,$8.00,18,91,13,32,55,6,14,20,A,0,36,83,F,H,$167600,33,$65687
00171305,4,5,3,4,$30.00,$25.00,$22.00,$23.33,18,57,14,31,41,6,14,16,A,0,12,,M,U,$101700,32,$0
00046095,5,13,3,8,$15.00,$12.60,$10.77,$12.67,21,57,13,33,49,6,16,21,S,1,37,27,F,H,$327100,49,$57371
00032453,3,17,2,12,$10.00,$10.67,$8.06,$11.00,19,117,12,32,75,5,14,29,A,1,33,64,F,U,$110300,77,$0
00190013,2,2,2,2,$25.00,$17.50,$17.50,$17.50,17,20,4,7,7,2,4,4,E,0,11,,U,U,$265300,32,$0
00092436,6,8,5,6,$5.00,$10.33,$9.00,$11.00,18,41,14,35,39,6,16,15,A,1,18,,M,U,$90200,29,$0
00049955,4,4,3,3,$10.00,$8.25,$8.25,$8.67,21,33,12,27,26,6,13,11,A,1,39,31,M,H,$79700,32,$40197
00025522,1,13,0,3,$25.00,$35.00,$11.85,,18,99,16,36,70,6,6,26,A,0,23,66,F,H,$47700,50,$37575
00052184,8,10,6,7,$3.00,$3.25,$3.20,$3.00,16,40,11,27,30,4,12,12,S,1,51,,F,U,$34000,26,$0
00109595,1,1,1,1,$25.00,$25.00,$25.00,$25.00,17,17,11,16,14,5,7,6,F,0,47,,F,U,$46800,18,$37346
00134682,1,7,0,3,$15.00,$15.00,$11.00,,16,105,12,29,61,4,4,23,A,0,40,,F,U,$49000,23,$43527
00019193,1,1,1,1,$15.00,$15.00,$15.00,$15.00,17,17,10,15,13,4,6,5,F,0,00,44,M,U,$83600,0,$59500
00015075,5,13,3,6,$7.00,$5.60,$4.77,$5.67,17,63,13,34,53,6,17,20,S,1,43,,F,U,$49700,20,$37047
00015072,5,6,2,2,$10.00,$8.00,$7.50,$7.50,15,29,13,24,24,6,12,10,A,1,43,,F,U,$49700,20,$37047
00015074,1,5,0,2,$15.00,$15.00,$9.80,,19,65,11,28,46,4,4,16,A,0,43,,F,U,$49700,20,$0
00015092,4,12,1,7,$8.00,$7.00,$5.67,$10.00,18,123,12,26,53,6,12,24,S,1,40,80,F,H,$68500,27,$49167
00015097,2,6,0,1,$16.00,$13.00,$9.00,,17,98,14,33,50,5,5,19,A,0,51,55,M,U,$51500,23,$42722
00015100,1,1,1,1,$25.00,$25.00,$25.00,$25.00,17,17,11,16,14,5,7,6,F,0,39,49,M,H,$64100,29,$50651
00015111,2,6,1,4,$20.00,$20.00,$16.00,$20.00,17,104,13,33,57,6,16,24,A,0,39,55,F,U,$64100,29,$50651
00015121,8,12,7,9,$5.00,$5.00,$4.83,$5.00,17,44,13,32,39,6,17,17,S,1,34,73,M,H,$83400,32,$66411
00015028,2,4,1,1,$10.00,$12.50,$13.75,$15.00,18,28,12,27,27,6,14,12,A,0,42,,F,U,$43500,40,$0
00015175,2,8,1,3,$20.00,$21.00,$17.38,$20.00,23,81,13,34,61,6,16,23,A,0,36,54,F,H,$62100,25,$37236
00015171,5,11,4,6,$20.00,$19.00,$14.73,$18.75,18,56,14,34,46,6,17,19,S,1,41,,F,U,$47100,31,$0
00015164,2,2,2,2,$30.00,$27.50,$27.50,$27.50,17,21,13,20,18,6,10,8,N,0,43,48,F,H,$46600,23,$37236
00015249,2,5,1,3,$20.00,$25.00,$20.00,$35.00,18,75,14,32,50,6,15,21,A,0,41,56,F,U,$47300,31,$37236
00017709,5,10,2,3,$10.00,$9.00,$6.80,$7.50,18,65,14,34,49,6,15,19,A,0,28,61,F,U,$60300,41,$0
00015227,3,21,1,13,$10.00,$10.00,$8.43,$10.00,18,129,14,34,77,5,14,32,A,1,40,74,F,H,$70600,34,$50528
00015232,10,18,5,7,$2.00,$8.00,$6.50,$5.80,16,54,14,36,46,6,17,18,S,1,51,,F,H,$45700,18,$35000
00015242,2,9,1,4,$17.00,$16.00,$12.89,$15.00,19,111,14,35,65,6,16,27,A,0,44,53,M,H,$68300,25,$43729
00015243,1,17,0,5,$20.00,$20.00,$2.53,,21,124,13,27,51,6,6,21,A,1,51,55,F,H,$45100,22,$43729
00015238,4,4,3,3,$10.00,$6.75,$6.75,$5.67,15,33,14,30,29,5,11,10,A,1,49,,F,H,$54300,25,$43729
00015260,2,13,0,4,$10.00,$10.00,$8.00,,19,125,13,33,74,6,6,31,S,1,40,65,F,H,$63300,31,$51026
00005903,1,16,0,8,$40.00,$40.00,$33.75,,19,129,18,31,102,8,8,32,A,1,40,,U,U,$63300,31,$0
00015268,2,5,0,1,$17.00,$16.00,$14.60,,19,73,11,29,47,5,5,19,A,0,47,65,F,U,$58200,23,$42031
00015288,1,1,1,1,$20.00,$20.00,$20.00,$20.00,16,16,12,17,14,5,7,6,F,0,25,75,M,H,$86500,15,$34814
00015299,2,5,1,4,$25.00,$25.00,$17.60,$25.00,16,88,12,29,54,5,13,21,A,0,35,52,F,H,$76300,26,$34814
00015308,1,1,1,1,$20.00,$20.00,$20.00,$20.00,16,16,12,17,14,5,7,6,F,0,24,,M,U,$78200,24,$0
00015336,1,6,1,4,$25.00,$25.00,$14.67,$25.00,17,105,14,30,59,6,13,23,A,0,34,35,M,H,$86200,45,$50832
00015340,3,17,1,8,$13.00,$11.67,$8.41,$11.00,18,124,13,33,69,6,15,29,S,1,34,84,U,U,$86200,45,$0
00019447,3,21,1,12,$25.00,$20.00,$11.90,$10.00,18,129,13,35,75,6,17,33,S,1,26,82,F,U,$67400,26,$0
00189717,6,9,4,7,$5.00,$4.50,$4.67,$4.25,15,45,4,12,17,2,6,8,E,1,23,,U,U,$184600,59,$0
00015356,5,6,4,4,$10.00,$7.00,$7.50,$7.50,15,33,14,30,30,6,13,11,S,1,25,,F,H,$79800,22,$77654
00015366,2,5,1,3,$25.00,$25.00,$20.00,$25.00,18,65,13,35,54,6,17,21,A,0,22,56,M,H,$122100,16,$77654
00015357,8,8,4,4,$3.00,$3.25,$3.25,$3.00,16,32,13,29,28,6,13,11,S,1,25,44,F,U,$79800,22,$77654
00015456,2,18,2,10,$20.00,$20.00,$17.56,$20.00,18,129,12,32,84,6,16,34,S,1,23,44,M,U,$91200,37,$0
00015381,1,9,0,6,$25.00,$25.00,$18.78,,27,129,14,35,74,5,5,32,A,1,22,81,F,H,$113300,16,$77654
00015402,2,11,0,7,$20.00,$18.50,$13.64,,18,101,12,32,68,6,6,27,A,1,31,35,M,H,$96100,30,$35302
00015387,2,4,1,2,$15.00,$10.00,$8.25,$5.00,24,42,10,29,32,5,13,13,A,0,28,47,F,H,$53400,31,$35302
00015404,4,18,2,12,$5.00,$4.50,$4.89,$4.00,17,103,12,28,68,5,12,25,S,1,41,,F,H,$48900,30,$35302
00185457,2,7,2,3,$31.00,$26.00,$23.29,$26.00,5,52,26,46,55,8,17,19,A,0,32,75,F,H,$38100,34,$35302
00015439,1,8,1,6,$20.00,$20.00,$9.13,$20.00,15,81,10,26,52,3,10,19,E,1,40,35,M,H,$74200,39,$58530
00015431,2,6,1,5,$15.00,$15.00,$13.33,$15.00,22,56,14,35,47,6,16,19,A,1,25,69,F,H,$69500,33,$58530
00015451,3,21,3,12,$10.00,$10.67,$8.52,$10.67,16,130,14,30,74,6,14,31,S,1,24,,M,U,$90800,30,$0
00015418,2,2,1,1,$16.00,$13.00,$13.00,$10.00,18,28,12,25,23,4,10,9,A,0,40,37,M,H,$89400,42,$58530
00015440,2,11,1,6,$17.00,$16.00,$12.36,$17.00,16,89,14,35,67,6,16,25,A,1,24,52,F,H,$107200,47,$58530
00012769,5,15,4,10,$8.00,$8.00,$5.67,$8.00,20,125,20,35,71,5,12,25,S,1,24,64,F,H,$107200,47,$58530
00015417,2,2,2,2,$15.00,$12.50,$12.50,$12.50,24,29,9,22,21,4,10,9,A,0,35,39,F,H,$85300,30,$58530
00015427,3,5,2,4,$18.00,$14.67,$12.40,$15.00,24,45,11,31,34,6,15,15,A,1,22,60,F,H,$83200,23,$58530
00015465,7,7,4,4,$5.00,$3.86,$3.86,$4.00,20,32,12,28,30,6,13,11,A,1,27,51,F,H,$38800,33,$42831
00015485,5,9,4,7,$4.00,$7.20,$8.89,$8.00,15,91,15,33,57,6,14,23,A,1,40,73,F,H,$71700,19,$42831
00015492,1,10,1,6,$13.00,$13.00,$10.50,$13.00,21,123,10,25,68,4,10,27,A,1,32,38,F,H,$44700,34,$42831
00015466,3,4,0,1,$25.00,$16.33,$14.75,,19,41,13,33,33,6,6,14,A,0,32,,M,U,$47800,27,$42831
00002834,3,10,1,3,$5.00,$11.67,$11.10,$15.00,16,65,22,39,62,11,19,24,A,0,40,,M,H,$74300,26,$42831
00003057,5,16,3,9,$15.00,$10.80,$8.25,$11.33,16,75,31,52,72,6,17,25,S,1,32,77,F,H,$46000,34,$42831
00092329,12,26,8,17,$5.00,$5.00,$5.12,$5.25,17,111,14,34,71,6,17,28,S,1,15,,F,U,$94500,31,$0
00015501,1,1,1,1,$15.00,$15.00,$15.00,$15.00,17,17,9,13,12,4,6,5,F,0,24,61,F,H,$72100,38,$51013
00015505,2,2,1,1,$15.00,$10.00,$10.00,$15.00,23,32,10,22,24,4,8,7,A,0,31,54,F,H,$55900,29,$51013
00015571,7,20,5,12,$10.00,$8.00,$7.05,$8.00,17,112,13,33,70,6,17,30,S,1,36,58,M,U,$52200,33,$43756
00015554,5,10,3,4,$7.00,$8.40,$8.70,$7.67,17,65,13,31,53,6,15,20,A,1,36,,F,U,$49900,29,$43756
00015580,6,30,3,19,$5.00,$7.50,$5.30,$7.33,17,123,13,33,72,5,15,32,S,1,40,76,F,H,$68300,33,$43756
00015531,1,1,1,1,$18.00,$18.00,$18.00,$18.00,21,21,8,15,13,3,6,5,N,0,40,,F,H,$63900,31,$43756
00013557,2,8,1,2,$25.00,$16.50,$16.00,$17.00,6,41,27,39,46,8,16,16,A,0,40,51,M,U,$112900,38,$43756
00015585,3,11,1,7,$11.00,$9.67,$6.64,$9.00,18,127,12,32,59,6,15,28,S,0,40,61,M,H,$62300,31,$0
00015588,2,3,1,2,$20.00,$15.00,$11.67,$20.00,24,44,11,27,31,6,12,12,A,0,51,55,M,H,$41000,23,$49460
00015590,2,17,2,12,$21.00,$19.00,$10.65,$19.00,24,111,11,30,75,6,16,29,A,1,51,53,M,U,$41300,23,$49460
00015594,3,7,2,3,$16.00,$13.67,$10.86,$12.50,19,64,14,34,52,6,16,20,A,0,50,44,U,H,$39500,24,$36027
00015597,3,20,0,9,$20.00,$15.00,$7.95,,17,130,13,35,78,6,6,34,S,1,50,,M,U,$41800,24,$0
00015608,5,11,2,4,$5.00,$5.80,$5.00,$5.50,16,81,13,34,55,6,16,22,A,0,44,84,F,H,$72100,36,$48766
00015607,2,10,2,7,$15.00,$13.50,$10.80,$13.50,15,79,11,28,54,3,10,19,E,1,38,40,F,U,$71700,19,$48766
00015609,2,14,0,5,$20.00,$20.00,$11.36,,16,89,12,33,66,5,5,26,A,1,44,86,F,U,$63700,27,$48766
00016431,4,22,2,13,$10.00,$10.25,$8.00,$10.50,19,128,13,35,82,6,17,33,S,1,26,82,F,H,$59900,31,$48766
00015629,2,6,1,5,$35.00,$32.50,$19.83,$30.00,19,80,13,35,57,6,17,24,A,0,30,60,F,H,$44300,35,$53466
00015730,2,2,1,1,$22.00,$13.50,$13.50,$5.00,15,21,12,17,16,4,7,6,F,0,36,41,M,H,$81100,31,$53466
00015638,3,10,1,5,$12.00,$10.67,$6.80,$10.00,19,102,13,33,61,6,15,25,A,1,28,73,F,H,$62600,22,$53466
00015653,3,10,1,5,$12.00,$11.33,$8.20,$12.00,18,75,13,31,54,6,14,21,S,1,31,47,F,H,$50600,0,$0
00015666,6,10,3,5,$11.00,$9.83,$8.90,$9.00,16,57,14,33,44,6,16,19,A,0,40,59,F,H,$61700,31,$40262
00004311,9,76,6,32,$10.00,$2.22,$2.21,$2.33,16,129,20,36,107,4,13,33,S,1,40,,F,U,$61700,31,$40262
00015688,2,4,1,2,$5.00,$12.50,$8.25,$5.00,17,68,10,22,35,4,8,12,A,0,44,69,F,U,$76400,26,$53839
00015712,2,2,2,2,$15.00,$10.00,$10.00,$10.00,16,24,13,23,21,5,9,8,N,0,43,,M,U,$43200,20,$0
00015743,1,9,0,5,$17.00,$17.00,$11.89,,16,112,9,22,46,3,3,18,A,1,49,49,F,H,$55500,35,$45181
00015741,4,7,1,4,$25.00,$16.75,$12.71,$12.00,16,77,13,30,50,6,14,19,A,1,40,56,F,H,$70800,27,$45181
00015749,2,11,0,6,$15.00,$12.50,$7.55,,18,128,13,29,63,4,4,26,A,1,27,74,F,H,$45700,34,$45181
00015728,2,3,0,0,$10.00,$7.50,$7.00,,15,20,12,18,17,5,5,6,N,0,30,55,F,H,$44200,29,$45181
00015613,3,3,2,2,$10.00,$8.00,$8.00,$7.50,16,22,14,22,20,6,10,8,N,0,25,55,F,H,$66600,28,$42855
00006430,3,44,1,7,$5.00,$5.00,$5.34,$5.00,10,231,27,38,97,5,9,24,A,1,32,68,F,H,$47300,33,$28618
00188557,2,9,0,3,$10.00,$17.00,$8.78,,6,126,20,40,66,8,8,30,A,0,00,80,M,H,$47500,0,$0
00015806,1,2,1,1,$20.00,$10.00,$15.00,$10.00,15,17,13,18,16,5,7,6,N,0,39,58,F,H,$69200,27,$43206
00015811,3,3,2,2,$25.00,$15.67,$15.67,$17.50,24,36,12,32,30,6,15,13,A,0,40,73,M,H,$73000,29,$43206
00015818,3,9,1,5,$10.00,$14.33,$10.22,$15.00,18,75,14,32,52,6,14,19,S,1,36,53,M,H,$53200,24,$43206
00015817,2,14,1,6,$20.00,$13.50,$6.00,$7.00,18,63,7,21,34,4,12,16,A,1,39,,F,H,$68700,18,$43206
00015842,3,7,2,3,$16.00,$18.33,$12.00,$19.50,18,63,13,33,51,6,16,20,A,1,25,71,M,U,$73700,24,$62491
00013100,3,19,3,10,$10.00,$13.67,$9.37,$13.67,13,102,31,52,90,8,19,30,S,1,25,67,M,H,$73700,24,$62491
00015835,2,3,1,2,$20.00,$17.50,$15.00,$20.00,19,40,13,34,35,6,16,15,A,0,24,63,M,U,$155000,21,$0
00015841,7,12,5,6,$10.00,$9.86,$8.25,$10.20,18,65,16,33,45,6,15,17,S,1,24,51,F,H,$125200,42,$62491
00015855,5,11,3,6,$15.00,$13.00,$10.73,$12.00,19,57,15,37,49,6,17,20,A,1,39,78,F,H,$73000,29,$53804
00015864,4,12,2,9,$10.00,$9.50,$6.42,$9.50,18,105,14,26,62,6,12,22,S,1,40,54,F,H,$92300,34,$53804
00015890,2,18,1,12,$11.00,$9.00,$4.17,$7.00,18,127,12,30,68,5,13,29,A,1,27,,F,H,$68500,25,$78433
00010315,7,32,5,18,$7.00,$3.86,$3.56,$3.80,7,123,28,48,98,6,16,31,S,1,35,69,F,H,$134100,39,$78433
00015893,4,5,3,4,$15.00,$10.50,$9.40,$11.67,20,41,12,33,36,6,16,15,A,1,44,30,F,U,$78000,25,$0
00015918,1,4,0,2,$20.00,$20.00,$9.75,,26,69,10,21,39,4,4,13,A,0,40,55,F,U,$70400,33,$59061
00015901,2,2,1,1,$16.00,$13.00,$13.00,$10.00,15,27,10,23,20,4,10,9,A,0,39,49,F,H,$71900,21,$59061
00015935,2,25,0,13,$11.00,$12.00,$6.84,,18,127,12,32,79,5,5,32,A,1,40,,F,U,$70400,31,$59061
00015903,3,3,3,3,$15.00,$10.33,$10.33,$10.33,16,33,14,31,28,6,13,11,A,0,40,42,F,H,$118600,29,$59061
00015917,2,4,1,2,$20.00,$17.50,$12.50,$20.00,21,63,12,27,43,6,13,16,A,0,36,,F,U,$59400,41,$0
00015947,4,4,2,2,$10.00,$8.00,$8.00,$6.00,20,32,13,30,29,6,14,12,A,0,39,31,M,H,$65900,27,$37148
00015942,1,1,0,0,$25.00,$25.00,$25.00,,15,15,8,10,10,3,3,4,E,0,36,49,F,U,$40500,25,$0
00015966,3,22,1,14,$10.00,$9.00,$4.41,$7.00,18,127,14,34,80,5,14,31,A,1,38,63,M,U,$94900,33,$37148
00015949,2,2,1,1,$15.00,$15.00,$15.00,$15.00,20,33,10,27,25,4,11,10,A,0,49,33,F,H,$54300,25,$37148
00015957,6,10,2,4,$6.00,$6.17,$4.90,$5.50,15,64,13,32,42,6,15,17,S,1,44,39,F,U,$66000,34,$37148
00015962,5,10,3,5,$5.00,$8.00,$6.50,$8.33,16,97,13,33,60,6,15,23,A,1,41,61,F,H,$46300,28,$37148
00015967,2,9,0,6,$15.00,$17.50,$13.33,,16,110,13,33,68,5,5,30,A,1,41,39,F,H,$41600,33,$37148
00016006,3,15,0,6,$10.00,$10.00,$7.00,,17,92,13,31,60,6,6,23,S,1,36,60,U,U,$62300,36,$0
00016015,4,32,3,17,$10.00,$6.25,$3.59,$5.00,17,127,9,21,68,5,13,29,S,1,39,,M,U,$64000,18,$0
00016007,5,16,2,7,$6.00,$5.00,$4.94,$5.00,18,97,14,34,62,6,15,26,A,1,41,,F,U,$37100,25,$0
00003265,4,23,3,13,$5.00,$5.75,$5.61,$5.67,4,111,25,46,87,6,16,31,S,1,00,,F,U,$64000,0,$48625
00016033,1,1,1,1,$23.00,$23.00,$23.00,$23.00,20,20,10,17,15,4,7,6,F,0,51,27,M,H,$52000,23,$44239
00016035,2,16,2,9,$10.00,$10.00,$6.81,$10.00,23,126,10,27,72,4,12,29,A,1,43,,F,U,$49900,26,$0
00016042,1,1,1,1,$25.00,$25.00,$25.00,$25.00,17,17,12,17,15,5,7,6,F,0,36,75,M,H,$53100,24,$47102
00016056,5,16,2,10,$10.00,$10.00,$8.94,$10.00,16,112,13,33,64,6,15,27,S,1,47,46,F,H,$58400,24,$47102
00016061,3,11,1,4,$11.00,$9.67,$6.36,$9.00,18,76,12,32,49,6,15,21,A,0,50,73,F,H,$44300,24,$40288
00005401,8,25,5,13,$10.00,$4.25,$4.64,$5.00,15,113,20,42,103,6,17,31,S,1,50,66,F,H,$44300,24,$40288
00016064,2,5,1,2,$17.00,$16.00,$9.80,$17.00,21,53,12,31,41,6,15,16,A,0,44,69,F,H,$82200,31,$78837
00016070,2,2,2,2,$15.00,$12.50,$12.50,$12.50,21,29,10,22,22,4,10,9,A,0,42,81,F,U,$75100,27,$57168
00016081,1,6,0,2,$40.00,$40.00,$19.67,,26,90,12,34,60,5,5,25,A,0,23,78,M,U,$134300,48,$57168
