ID,LocX,LocY,RegDens,RegPop,MedHHInc,MeanHHSz
00769,-66.3611,18.092813,75,37597,$12064,3.19
00771,-65.87089,18.18744,81,34485,$14622,3.08
00772,-65.87606,18.427674,83,24890,$8962,3.39
00773,-65.72134,18.361344,79,19817,$13631,3.00
00775,-65.29258,18.311149,28,1868,$17008,2.62
00777,-65.91316,18.224088,83,36452,$13072,3.02
00778,-65.97791,18.258628,83,36743,$16451,3.11
00780,-66.5594,18.068538,76,10017,$12092,3.37
00782,-66.2267,18.223348,78,18897,$11027,3.15
00783,-66.32306,18.304874,80,36867,$11786,3.26
00784,-66.12779,17.984137,78,43926,$12180,3.01
00791,-65.82269,18.147257,83,53216,$14464,3.03
00794,-66.31058,18.204294,80,28909,$11322,3.31
00795,-66.5029,18.036253,79,50531,$12892,3.34
007HH,-66.01459,17.981672,,0,$0,0.00
007XX,-66.55546,17.962234,,0,$0,0.00
00901,-66.10786,18.465426,98,7418,$9751,2.07
00906,-66.10079,18.46454,100,545,$7361,2.79
00907,-66.07799,18.451131,99,22173,$21485,2.02
00909,-66.06765,18.442282,99,7671,$13840,2.36
00911,-66.05771,18.45009,100,9345,$24987,1.97
00912,-66.05929,18.445946,100,7992,$14506,2.38
00913,-66.04256,18.450907,100,10893,$6450,2.81
00915,-66.04888,18.436995,100,35993,$10038,2.62
00917,-66.0513,18.422263,100,26165,$12068,2.47
00918,-66.06494,18.417668,98,18144,$27639,2.18
00920,-66.09069,18.41242,95,19424,$20759,2.44
00921,-66.08634,18.394019,99,45230,$15923,2.67
00923,-66.03806,18.410681,100,31410,$12594,2.62
00924,-66.01194,18.401917,99,62205,$14820,2.88
00925,-66.05029,18.400006,99,8101,$11970,2.40
00926,-66.05621,18.361363,95,102545,$26306,2.90
00927,-66.06868,18.39184,98,16560,$30625,2.50
00934,-66.12199,18.413511,77,722,$37063,2.77
00949,-66.20421,18.433173,93,81694,$18968,3.07
00952,-66.18015,18.429218,98,12028,$14398,3.14
00953,-66.23415,18.36802,88,62470,$20313,3.27
00956,-66.16643,18.34216,91,80844,$17956,2.99
00957,-66.1867,18.369674,99,50620,$17866,3.11
00959,-66.15944,18.387063,98,53465,$22301,2.82
00961,-66.16034,18.412462,96,39407,$23219,2.96
00962,-66.13847,18.437683,96,30071,$12852,3.11
00965,-66.11703,18.431453,96,9397,$10978,2.97
00966,-66.11522,18.398507,98,15785,$49354,2.60
00968,-66.10251,18.408479,97,3885,$38075,2.10
00969,-66.10889,18.366981,98,48787,$35516,2.93
00971,-66.11877,18.329688,86,29136,$16045,2.99
00976,-66.00561,18.346767,92,73465,$22143,3.06
00979,-66.01271,18.431885,95,18681,$29234,2.22
00982,-65.99314,18.409345,98,14641,$20906,2.70
00983,-65.97582,18.414408,99,47396,$20012,2.94
00985,-65.94691,18.374896,87,60824,$18854,3.10
00987,-65.96275,18.372228,96,40879,$23884,3.18
009HH,-66.06653,18.435287,,0,$0,0.00
01001,-72.62029,42.07061,83,16475,$45735,2.25
01002,-72.50324,42.377651,77,36776,$42567,2.46
01005,-72.10443,42.412094,59,5079,$50395,2.69
01007,-72.41101,42.278424,68,12997,$52425,2.65
01008,-72.94829,42.174313,28,1234,$52663,2.68
01010,-72.20552,42.126038,56,3350,$50181,2.67
01011,-73.01959,42.271442,37,2085,$45511,2.62
01012,-72.84356,42.390836,34,521,$50938,2.73
01013,-72.60317,42.161492,93,22963,$32412,2.34
01020,-72.57266,42.175992,88,29325,$37282,2.33
01022,-72.55606,42.196666,75,2365,$41083,1.98
01026,-72.91813,42.465041,41,1079,$42917,2.35
01027,-72.68677,42.27279,73,17493,$45921,2.35
01028,-72.51021,42.066795,82,14195,$62835,2.66
01029,-73.04204,42.175896,40,581,$46528,2.29
01030,-72.67248,42.070774,81,11669,$55724,2.73
01031,-72.18833,42.33071,59,1243,$44333,2.55
01032,-72.81551,42.45792,33,201,$52500,2.28
01033,-72.51832,42.254563,67,6134,$54173,2.69
01034,-72.94464,42.086224,31,1929,$53333,2.67
01035,-72.5733,42.35549,67,4793,$51851,2.45
01036,-72.41736,42.064703,69,5076,$65196,2.77
01037,-72.19524,42.374202,38,740,$56094,2.75
01038,-72.60833,42.375155,69,2652,$50030,2.44
01039,-72.6926,42.381475,60,1085,$53750,2.34
01040,-72.6242,42.201891,85,39838,$30441,2.57
01050,-72.87943,42.290209,47,2385,$49336,2.70
01053,-72.70206,42.353105,71,1514,$56094,2.32
01054,-72.4988,42.479839,49,1453,$60208,2.58
01056,-72.47069,42.174893,79,21149,$47053,2.55
01057,-72.31701,42.089269,65,8299,$52159,2.64
01060,-72.63562,42.324539,84,16261,$38739,1.93
01062,-72.67916,42.324232,77,11172,$47115,2.46
01068,-72.04414,42.349769,53,1713,$60781,2.90
01069,-72.32647,42.176401,71,9879,$42154,2.41
01070,-72.91661,42.515853,32,548,$36500,2.38
01071,-72.85153,42.165931,55,1649,$46500,2.73
01072,-72.42209,42.486027,51,1489,$56563,2.73
01073,-72.72778,42.223885,66,5387,$61831,2.71
01075,-72.58244,42.234891,81,17254,$46731,2.34
01077,-72.76967,42.05283,70,8835,$52296,2.66
01080,-72.36518,42.180563,81,2585,$39155,2.54
01081,-72.22518,42.058024,59,1620,$48125,2.60
01082,-72.26068,42.270611,68,9955,$37438,2.42
01083,-72.20259,42.20468,64,2297,$37250,2.67
01084,-72.89043,42.379807,26,161,$58125,3.22
01085,-72.7503,42.133642,77,40734,$45482,2.54
01088,-72.6321,42.388831,56,522,$40250,2.01
01089,-72.64067,42.112793,85,27899,$40266,2.33
01092,-72.23904,42.210777,65,1126,$33750,2.53
01095,-72.44057,42.12531,76,13672,$64691,2.71
01096,-72.78272,42.415236,50,2641,$46364,2.43
01098,-72.93871,42.399054,37,1169,$52734,2.44
010HH,-72.59639,42.19748,,0,$0,0.00
01103,-72.59112,42.103294,98,2721,$17899,1.70
01104,-72.57338,42.130343,93,22401,$29138,2.45
01105,-72.57981,42.096644,99,13161,$15648,2.31
01106,-72.57121,42.050395,85,15903,$74146,2.63
01107,-72.6061,42.120193,98,11336,$17574,3.00
01108,-72.55523,42.084094,98,25755,$32011,2.60
01109,-72.55032,42.116277,96,30851,$27463,2.84
01118,-72.5291,42.093144,93,14199,$47711,2.48
01119,-72.50933,42.128442,92,13138,$39728,2.54
01128,-72.48857,42.095344,89,2917,$57734,2.69
01129,-72.4896,42.121031,87,7043,$46076,2.51
01151,-72.50531,42.153926,92,8290,$27808,2.48
011HH,-72.58976,42.095719,,0,$0,0.00
01201,-73.254,42.45384,77,47658,$36448,2.27
01220,-73.11843,42.619727,70,9404,$33102,2.21
01222,-73.32177,42.057496,65,825,$51250,2.74
01223,-73.09336,42.314449,33,1764,$48750,2.56
01225,-73.16531,42.551731,61,2806,$40399,2.53
01226,-73.11548,42.476575,61,7858,$49238,2.53
01230,-73.35249,42.189715,54,9242,$45630,2.28
01235,-73.09278,42.433661,48,2538,$42467,2.61
01236,-73.36236,42.266874,65,2015,$48281,2.37
01237,-73.24365,42.557346,47,2449,$45951,2.54
01238,-73.23271,42.299263,59,6402,$42538,2.42
01240,-73.27683,42.36237,66,5285,$43700,2.13
01242,-73.246,42.336557,82,106,$80783,2.52
01244,-73.20312,42.139104,,0,$0,0.00
01245,-73.2085,42.180659,35,973,$50903,2.21
01247,-73.10146,42.696064,70,17052,$29288,2.25
01253,-73.10205,42.198403,37,644,$54107,2.45
01254,-73.36336,42.374711,53,998,$58125,2.43
01255,-73.12445,42.088973,22,783,$45469,2.34
01256,-73.01123,42.592506,24,692,$41477,2.42
01257,-73.36592,42.102694,48,2335,$45586,2.34
01258,-73.45734,42.103122,11,134,$53125,2.09
01259,-73.24675,42.0645,34,521,$56000,2.46
01262,-73.31423,42.283216,63,772,$37917,1.69
01264,-73.20394,42.224905,25,233,$49750,2.41
01266,-73.36408,42.328535,50,1742,$51818,2.35
01267,-73.22355,42.689962,62,8749,$51503,2.22
012HH,-73.27125,42.329078,,0,$0,0.00
01301,-72.60099,42.605524,78,18483,$33498,2.19
01330,-72.81116,42.521131,41,1601,$52361,2.48
01331,-72.20836,42.579931,67,12899,$35479,2.50
01337,-72.55569,42.678023,51,2619,$45903,2.57
01338,-72.80201,42.569498,34,21,$23750,1.75
01339,-72.87939,42.626858,33,2051,$46167,2.61
01340,-72.73104,42.673371,39,1875,$40455,2.63
01341,-72.70403,42.508313,44,1745,$55938,2.60
01342,-72.6091,42.542322,49,1013,$56776,2.55
01344,-72.41397,42.607051,48,832,$41250,2.48
01346,-72.80495,42.669255,38,334,$48438,2.85
01349,-72.50525,42.5737,65,1644,$35592,2.52
01350,-72.97629,42.712257,10,55,$25500,1.96
01351,-72.52522,42.534976,60,2422,$56102,2.44
01355,-72.33345,42.485899,24,889,$49500,2.46
01360,-72.4565,42.682285,54,2951,$49141,2.53
01364,-72.29263,42.599614,66,7564,$36836,2.46
01366,-72.21227,42.474718,27,1174,$47917,2.49
01367,-72.90962,42.694883,21,374,$41667,2.35
01368,-72.17,42.671012,32,1269,$44856,2.82
01370,-72.72755,42.603447,54,4351,$45545,2.40
01373,-72.62453,42.472734,62,5300,$51544,2.41
01375,-72.56303,42.449978,69,3787,$37147,2.28
01376,-72.54439,42.609425,73,6422,$30062,2.26
01378,-72.3273,42.667152,26,753,$42083,2.59
01379,-72.41724,42.547274,37,938,$44722,2.37
01380,-72.36315,42.594455,11,40,$32083,2.11
013HH,-72.49669,42.59699,,0,$0,0.00
01420,-71.80338,42.578689,84,39102,$37004,2.50
01430,-71.93287,42.658768,62,5569,$55795,2.86
01431,-71.81371,42.672005,59,2845,$61000,2.89
01432,-71.59136,42.549821,77,8029,$46619,2.29
01436,-72.08021,42.608903,70,3053,$42466,2.62
01438,-72.03498,42.563367,83,128,$70250,2.78
01440,-71.99183,42.575355,79,21111,$37318,2.35
01450,-71.55722,42.609887,70,9547,$82869,2.90
01451,-71.5888,42.505928,67,5031,$108024,2.84
01452,-71.99655,42.477515,55,3909,$61462,2.97
01453,-71.75358,42.526523,83,41447,$44925,2.48
01460,-71.49086,42.540052,75,8184,$71384,2.72
01462,-71.72051,42.582839,72,9401,$56813,2.66
01463,-71.59291,42.665686,75,11142,$65163,2.89
01464,-71.64555,42.559289,73,6368,$53344,2.55
01467,-71.62412,42.488666,59,208,$105710,3.77
01468,-72.06825,42.557796,63,3300,$52561,2.82
01469,-71.69204,42.658738,70,6072,$64583,3.00
01473,-71.9021,42.544622,65,6907,$57755,2.73
01474,-71.74579,42.669408,68,3131,$58306,2.90
01475,-72.0467,42.675441,68,9571,$43516,2.76
014HH,-71.93016,42.502879,,0,$0,0.00
01501,-71.83843,42.20361,81,15827,$52030,2.49
01503,-71.62666,42.380562,65,2380,$65667,2.72
01504,-71.52999,42.028147,79,8804,$55163,2.71
01505,-71.73026,42.338392,69,4008,$67703,2.55
01506,-72.09788,42.200374,66,3051,$45655,2.53
01507,-71.96962,42.135142,69,11263,$63033,2.92
01510,-71.68482,42.418836,88,13435,$44740,2.38
01515,-72.05312,42.212777,67,2097,$51860,2.70
01516,-71.72887,42.061437,65,7067,$60369,2.84
01518,-72.12394,42.12515,68,2306,$53750,2.52
01519,-71.68771,42.201674,76,5701,$66534,2.74
01520,-71.84435,42.338962,78,12702,$64379,2.69
01521,-72.16138,42.054676,65,2407,$52073,2.68
01522,-71.87419,42.369658,65,2919,$63529,2.78
01523,-71.67947,42.473131,70,7236,$60885,2.79
01524,-71.91908,42.238942,73,6178,$55838,2.72
01527,-71.76273,42.196144,79,12784,$51415,2.53
01529,-71.57799,42.036396,76,2724,$57000,2.95
01531,-72.12249,42.317121,42,907,$55250,2.93
01532,-71.64693,42.321917,79,14013,$79781,2.83
01534,-71.64376,42.140741,76,4710,$59279,2.75
01535,-72.07823,42.267274,67,4683,$44286,2.55
01536,-71.70523,42.231444,78,6430,$54583,2.43
01537,-71.88989,42.170846,70,1798,$48064,2.21
01540,-71.8657,42.117527,76,11523,$54466,2.70
01541,-71.88201,42.451569,56,3353,$80993,2.87
01542,-71.90652,42.194793,74,1926,$61691,2.85
01543,-71.96427,42.380877,64,6353,$62846,2.77
01545,-71.72502,42.286643,84,31658,$64175,2.54
01550,-72.03533,42.070827,79,17214,$33913,2.41
01560,-71.69383,42.177462,79,2776,$44730,2.40
01562,-71.99227,42.247212,72,11691,$46598,2.53
01564,-71.77333,42.436875,68,7257,$67188,2.82
01566,-72.08584,42.104581,66,5531,$57989,2.56
01568,-71.60971,42.17382,69,5629,$78410,2.74
01569,-71.62993,42.064978,73,11089,$62231,2.80
01570,-71.86109,42.047728,82,15700,$38311,2.35
01571,-71.9173,42.049864,75,10751,$46753,2.53
01581,-71.61409,42.269845,79,17997,$73418,2.62
01583,-71.787,42.359842,74,6195,$54402,2.56
01585,-72.16735,42.242965,65,5569,$42543,2.44
01588,-71.67226,42.114195,80,8517,$47448,2.62
01590,-71.75122,42.131028,68,8250,$75141,2.93
015HH,-71.78388,42.166944,,0,$0,0.00
01602,-71.84482,42.272359,91,22983,$47906,2.39
01603,-71.83777,42.240526,95,17606,$36092,2.55
01604,-71.77459,42.255393,95,33519,$37497,2.32
01605,-71.78847,42.286543,94,24410,$29348,2.46
01606,-71.79531,42.311342,91,19905,$44689,2.34
01607,-71.79501,42.229543,92,7416,$30707,2.29
01608,-71.80174,42.261343,97,3222,$17688,2.47
01609,-71.81349,42.271743,95,21314,$31521,2.36
01610,-71.80794,42.248493,99,23615,$26152,2.57
01611,-71.87139,42.238449,77,2398,$47396,2.69
01612,-71.91929,42.307591,70,4386,$72039,2.79
016HH,-71.91121,42.350326,,0,$0,0.00
01701,-71.42344,42.318695,86,31010,$70613,2.52
01702,-71.42162,42.283995,93,36061,$42614,2.35
01718,-71.42721,42.519739,99,438,$92203,2.32
01719,-71.51244,42.486259,75,4868,$87618,2.63
01720,-71.44221,42.477142,81,19813,$91492,2.71
01721,-71.45887,42.257956,82,14674,$68392,2.56
01730,-71.27505,42.496679,80,12566,$87962,2.60
01731,-71.27557,42.459085,92,2933,$49940,3.43
01740,-71.61267,42.437086,66,4148,$102798,2.91
01741,-71.35085,42.5286,71,4717,$129811,2.92
01742,-71.37478,42.457201,77,17073,$95997,2.62
01745,-71.50469,42.295544,76,340,$85230,2.05
01746,-71.43798,42.196065,78,13801,$78092,2.87
01747,-71.53663,42.125536,81,5696,$60651,2.54
01748,-71.53418,42.220447,75,13346,$89281,2.97
01749,-71.55791,42.389813,84,18113,$58549,2.57
01752,-71.54753,42.350909,85,36255,$56879,2.47
01754,-71.45594,42.430781,86,10433,$60812,2.43
01756,-71.54475,42.092006,70,5286,$71164,2.90
01757,-71.5215,42.149176,86,27010,$50840,2.55
01760,-71.35369,42.290763,87,31887,$69832,2.42
01770,-71.37203,42.231025,69,4200,$121693,2.95
01772,-71.53369,42.297643,76,8441,$105160,3.02
01773,-71.30316,42.425537,72,5152,$105860,2.59
01775,-71.51086,42.423882,71,5902,$96290,2.82
01776,-71.42989,42.38532,78,16841,$118579,3.02
01778,-71.35644,42.345583,79,13222,$101585,2.80
01801,-71.15206,42.484545,90,37258,$54897,2.47
01803,-71.20009,42.506362,86,22876,$75240,2.76
01810,-71.1513,42.646942,81,31247,$87683,2.74
01821,-71.25055,42.54805,85,29274,$67884,2.94
01824,-71.3544,42.595491,83,25428,$73882,2.67
01826,-71.31601,42.677772,83,28562,$57676,2.73
01827,-71.50293,42.671356,64,2822,$86891,3.07
01830,-71.07011,42.78519,85,24122,$46475,2.47
01832,-71.11024,42.781357,86,21431,$48798,2.53
01833,-70.98292,42.729437,76,7377,$76260,2.87
01834,-71.02488,42.750691,78,6038,$69167,2.93
01835,-71.08518,42.757767,85,13416,$55505,2.53
01840,-71.16182,42.706941,98,4450,$12307,2.07
01841,-71.16667,42.71159,99,44339,$26944,3.11
01843,-71.16079,42.691091,97,23189,$34851,2.75
01844,-71.17935,42.73004,86,43854,$49604,2.62
01845,-71.11171,42.683841,81,27202,$72728,2.60
01850,-71.30504,42.655791,99,15808,$40418,2.75
01851,-71.33238,42.630915,98,29631,$42081,2.89
01852,-71.29849,42.634112,97,32904,$38576,2.50
01854,-71.33349,42.649758,97,26824,$35371,2.63
01860,-71.00207,42.834246,78,6138,$58692,2.73
01862,-71.2911,42.573592,82,10074,$65460,2.82
01863,-71.39323,42.634199,86,8430,$60456,2.44
01864,-71.09821,42.583436,81,13865,$76784,2.86
01867,-71.10994,42.52585,88,23708,$77059,2.71
01876,-71.22072,42.601684,83,28484,$69581,2.82
01879,-71.41695,42.671589,77,11088,$69714,2.97
01880,-71.07132,42.501345,91,24804,$66117,2.52
01886,-71.43755,42.592086,78,20754,$98272,3.03
01887,-71.17032,42.558576,83,21335,$70741,3.01
01890,-71.14276,42.451945,91,20810,$94049,2.65
018HH,-71.12061,42.735906,,0,$0,0.00
01902,-70.94114,42.469946,100,47625,$31751,2.53
01904,-70.96579,42.490421,93,18052,$56284,2.66
01905,-70.97411,42.464879,96,23410,$37099,2.76
01906,-71.0098,42.462796,88,26041,$55364,2.60
01907,-70.90588,42.474409,95,14412,$71089,2.48
01908,-70.92809,42.427096,90,3632,$64052,2.20
01913,-70.93547,42.854423,83,16397,$51906,2.52
01915,-70.8757,42.560995,88,39862,$53984,2.39
01921,-71.00845,42.677869,71,7921,$113212,3.08
01922,-70.92649,42.76087,71,2854,$81276,3.05
01923,-70.94322,42.569756,86,25212,$58779,2.53
01929,-70.77926,42.631753,67,3267,$59554,2.49
01930,-70.67552,42.624015,82,30273,$47722,2.38
01938,-70.84007,42.682965,73,12987,$57284,2.42
01940,-71.02835,42.527895,82,11542,$80626,2.75
01944,-70.76462,42.580033,76,5228,$73467,2.40
01945,-70.86324,42.497146,94,20377,$73968,2.37
01949,-71.01356,42.602278,76,7744,$81395,2.75
01950,-70.86363,42.809891,85,18387,$58523,2.23
01951,-70.86866,42.780141,67,2718,$75049,2.59
01952,-70.86154,42.85048,75,7827,$49310,2.53
01960,-70.96147,42.534045,90,48129,$54829,2.55
01966,-70.61727,42.659936,82,7767,$50661,2.20
01969,-70.90899,42.716708,71,5500,$62130,2.77
01970,-70.8985,42.516845,95,40407,$44033,2.24
01982,-70.86513,42.616643,76,8315,$72000,2.87
01983,-70.94425,42.642471,75,6141,$96430,2.87
01984,-70.87618,42.600518,76,4440,$90524,2.70
01985,-70.97286,42.790736,70,4149,$92828,2.98
019HH,-70.77757,42.6254,,0,$0,0.00
02019,-71.47953,42.075122,79,15314,$64496,2.75
02021,-71.1343,42.166776,81,20614,$69260,2.56
02025,-70.81224,42.241908,78,7261,$84156,2.69
02026,-71.16553,42.244609,88,23527,$61631,2.61
02030,-71.28242,42.23888,72,5558,$141818,3.01
02032,-71.21363,42.153912,84,3914,$77227,2.82
02035,-71.24233,42.061427,79,16246,$64323,2.63
02038,-71.40691,42.089104,82,29560,$71174,2.85
02043,-70.88764,42.225708,80,19882,$83018,2.72
02045,-70.87663,42.286347,92,11050,$52377,2.44
02048,-71.21911,42.019982,82,22414,$66925,2.82
02050,-70.69173,42.109763,80,24757,$66434,2.71
02052,-71.30476,42.185571,80,12273,$97748,3.02
02053,-71.42316,42.151526,81,12448,$75135,2.95
02054,-71.36178,42.166398,77,7902,$62806,2.62
02056,-71.32856,42.111836,78,10460,$86153,3.09
02061,-70.82051,42.15243,74,9765,$87397,2.94
02062,-71.20166,42.185974,89,28587,$58421,2.41
02066,-70.75131,42.205038,81,17430,$71117,2.66
02067,-71.17923,42.113749,78,17396,$89178,2.92
02071,-71.27239,42.101406,77,995,$79811,3.52
02072,-71.10627,42.125432,85,27149,$57838,2.60
02081,-71.25375,42.145237,81,17927,$72861,2.66
02090,-71.20735,42.212949,83,14100,$87638,2.73
02093,-71.34618,42.0597,74,10554,$78043,2.89
020HH,-70.76329,42.157445,,0,$0,0.00
02108,-71.06409,42.357903,99,3309,$71199,1.54
02109,-71.05418,42.361477,100,3492,$78254,1.61
02110,-71.05365,42.356532,98,1356,$79085,1.45
02111,-71.06101,42.349838,100,5180,$20354,2.04
02113,-71.05637,42.365028,100,6378,$47547,1.56
02114,-71.06775,42.361792,100,11200,$55678,1.52
02115,-71.09269,42.34308,100,25202,$28244,1.69
02116,-71.07372,42.349622,100,19448,$60467,1.59
02118,-71.07277,42.338724,100,22074,$38550,1.85
02119,-71.08455,42.324511,99,23781,$26120,2.62
02120,-71.09652,42.332099,100,11218,$30658,2.71
02121,-71.08128,42.307448,100,24880,$27211,2.79
02122,-71.05454,42.296298,99,23870,$40021,2.81
02124,-71.07156,42.28713,100,51344,$36025,2.93
02125,-71.05811,42.316852,99,33952,$35513,2.85
02126,-71.09427,42.272098,99,28147,$38581,2.95
02127,-71.04562,42.33499,99,29530,$39625,2.10
02128,-71.02551,42.378297,98,38413,$31013,2.65
02129,-71.06495,42.378619,99,15195,$55700,2.05
02130,-71.11171,42.309998,98,36232,$46592,2.32
02131,-71.13053,42.284678,99,32404,$46722,2.62
02132,-71.1598,42.279432,95,23826,$57179,2.31
02134,-71.13165,42.355147,99,21333,$32145,2.26
02135,-71.1535,42.348418,99,44016,$43139,2.14
02136,-71.12594,42.252198,96,28337,$41144,2.62
02138,-71.12803,42.379146,99,35556,$55726,1.86
02139,-71.10432,42.364347,100,34638,$44382,2.13
02140,-71.12838,42.393327,99,16846,$50640,2.14
02141,-71.08443,42.370519,100,12271,$40475,2.15
02142,-71.08413,42.362297,91,2065,$56731,1.67
02143,-71.09908,42.381929,100,25135,$45095,2.22
02144,-71.12166,42.399546,100,25062,$53294,2.26
02145,-71.09226,42.390846,100,26861,$41226,2.66
02148,-71.0606,42.428549,99,56340,$45654,2.42
02149,-71.05221,42.409916,99,38037,$40661,2.45
02150,-71.03353,42.396382,100,35080,$30161,2.87
02151,-71.00525,42.416247,98,47283,$37067,2.41
02152,-70.97804,42.373047,98,18303,$53122,2.30
02155,-71.10943,42.419846,97,56185,$52512,2.43
02163,-71.12056,42.367946,98,1134,$30901,1.89
02169,-70.99593,42.250739,95,52117,$45056,2.16
02170,-71.01835,42.267049,99,19327,$51607,2.35
02171,-71.02316,42.284498,97,16581,$50999,2.31
02176,-71.06234,42.459045,96,27134,$62811,2.44
02180,-71.09835,42.480145,91,22219,$56605,2.42
02184,-70.99968,42.209555,88,33828,$61790,2.61
02186,-71.07497,42.253074,86,26062,$78985,2.79
02188,-70.95872,42.212866,93,14789,$48212,2.36
02189,-70.93112,42.2112,92,14897,$48917,2.41
02190,-70.94598,42.1711,87,15561,$56303,2.46
02191,-70.94434,42.242749,92,8741,$55880,2.47
02199,-71.08234,42.34713,100,995,$65313,1.37
021HH,-70.99512,42.333634,,0,$0,0.00
02210,-71.04464,42.347974,77,509,$86918,1.78
02215,-71.10215,42.346997,100,22331,$27040,1.56
02222,-71.06283,42.367797,85,55,$0,0.00
022HH,-71.05037,42.352702,,0,$0,0.00
02301,-71.03441,42.0794,95,61551,$36646,2.66
02302,-71.00222,42.08715,92,32753,$45972,2.92
02322,-71.04523,42.121932,81,4443,$50305,2.61
02324,-70.97216,41.979501,80,25179,$65276,2.81
02330,-70.76561,41.873697,72,11163,$53506,2.80
02332,-70.70105,42.031371,77,14248,$97124,2.85
02333,-70.95227,42.029083,78,12974,$60311,2.94
02338,-70.85396,41.999851,74,7513,$57146,2.72
02339,-70.85914,42.12867,80,13164,$73838,3.02
02341,-70.86205,42.059434,77,9482,$62586,3.04
02343,-71.01038,42.148351,84,10682,$54252,2.61
02346,-70.89407,41.889582,70,19897,$52808,2.78
02347,-70.95974,41.835094,70,9865,$70394,2.91
02351,-70.94788,42.119534,84,14605,$57100,2.74
